record,section,multi,answer,correct,confidence,scorer_agrees,format_ok,method,after_text,hint,agent2_seconds,scorer_seconds,done_reason,scorer_output
SYN_18_absent_pulses_true_positive_v2,F,False,"""No""",True,0.6347750240241357,True,True,details_lower_bound,False,verified,9.1,1.88,stop,DETAILS_PRESENT: yes | 2
SYN_19_autopsy_positive_upper_extremity_v2,F,False,"""No""",True,0.6159366833612938,True,True,details_lower_bound,False,verified,7.6,1.87,stop,DETAILS_PRESENT: yes | 2
SYN_20_autopsy_negative_trauma_v2,F,False,"""No""",True,0.5729589534942776,True,True,details_lower_bound,False,verified,7.0,1.8,stop,DETAILS_PRESENT: yes | 2
SYN_21_alt_diagnosis_bakers_cyst_v2,F,False,"""No""",True,0.6890127116890639,True,True,details_lower_bound,False,verified,7.7,1.83,stop,DETAILS_PRESENT: yes | 2
SYN_22_upper_extremity_effort_thrombosis_v2,F,False,"""No""",True,0.5926492449139299,True,True,details_lower_bound,False,verified,8.4,1.88,stop,DETAILS_PRESENT: yes | 2
SYN_23_other_procedure_ivc_filter_v2,F,False,"""No""",True,0.7585590281226876,True,True,details_lower_bound,False,verified,9.1,1.81,stop,DETAILS_PRESENT: yes | 2
SYN_24_imaging_inconclusive_no_alt_diagnosis_v2,F,False,"""No""",True,0.637827623680881,True,True,details_lower_bound,False,verified,8.2,1.91,stop,DETAILS_PRESENT: yes | 2
SYN_25_thrombectomy_postpartum_v2,F,False,"""No""",True,0.5552539996763595,True,True,details_lower_bound,False,verified,8.0,1.89,stop,DETAILS_PRESENT: yes | 2
SYN_26_ct_venography_pregnancy_pelvic_v2,F,False,"""No""",True,0.7887208451870997,True,True,details_lower_bound,False,verified,7.9,1.94,stop,DETAILS_PRESENT: yes | 2
SYN_27_contrast_venography_absent_pulses_v2,F,False,"""No""",True,0.5079147115266045,True,True,details_lower_bound,False,verified,7.9,1.95,stop,DETAILS_PRESENT: yes | 2
SYN_28_other_modality_plethysmography_v2,F,False,"""No""",True,0.5789323908164594,True,True,details_lower_bound,False,verified,7.8,1.9,stop,DETAILS_PRESENT: yes | 2
SYN_29_diagnosis_no_details_second_v2,F,False,"""Yes""",True,0.8541622688940109,True,True,details_exact,False,verified,8.0,1.47,stop,DETAILS_PRESENT: no | 1
SYN_30_confirmed_dvt_normal_ddimer_v2,F,False,"""No""",True,0.6538476565156134,True,True,details_lower_bound,False,verified,8.9,1.95,stop,DETAILS_PRESENT: yes | 2
SYN_31_diagnosis_no_details_upper_v2,F,False,"""Yes""",True,0.8009527314759046,True,True,details_exact,False,verified,8.9,1.63,stop,DETAILS_PRESENT: no | 1
SYN_32_discharge_letter_dvt_v2,F,False,"""Yes""",True,0.9476588260508306,True,True,details_exact,False,verified,7.1,1.51,stop,DETAILS_PRESENT: no | 1
SYN_33_transfer_note_dvt_upper_v2,F,False,"""Yes""",True,0.8879547285683282,True,True,details_exact,False,verified,7.3,1.36,stop,DETAILS_PRESENT: no | 1
SYN_34_dvt_reported_other_facility_v2,F,False,"""Yes""",True,0.8186535143233831,True,True,details_exact,False,verified,8.6,1.43,stop,DETAILS_PRESENT: no | 1
SYN_35_specialist_note_dvt_lower_v2,F,False,"""Yes""",True,0.9158931028132867,True,True,details_exact,False,verified,8.0,1.54,stop,DETAILS_PRESENT: no | 1
SYN_36_calf_muscle_tear_v2,F,False,"""No""",True,0.785471059738779,True,True,details_lower_bound,False,verified,7.4,2.0,stop,DETAILS_PRESENT: yes | 2
SYN_37_lymphatic_obstruction_v2,F,False,"""No""",True,0.6574601149367357,True,True,details_lower_bound,False,verified,7.7,1.99,stop,DETAILS_PRESENT: yes | 2
SYN_38_compartment_syndrome_v2,F,False,"""No""",True,0.6161596513772463,True,True,details_lower_bound,False,verified,8.4,1.92,stop,DETAILS_PRESENT: yes | 2
SYN_39_external_vein_compression_v2,F,False,"""No""",True,0.5924171643617913,True,True,details_lower_bound,False,verified,9.7,1.84,stop,DETAILS_PRESENT: yes | 2
SYN_40_imaging_report_pending_v2,F,False,"""No""",True,0.3831214497578749,True,True,details_lower_bound,False,verified,8.1,1.86,stop,DETAILS_PRESENT: yes | 2
